Hexanchus griseus
Aspidoras albater
Aspidoras rochai
Gymnogeophagus gymnogenys
Pogonopoma parahybae
Trachelyopterus cratensis
Diapoma guarani
Prochilodus brevis
Deuterodon iguape
Pimelodella enochi
Ituglanis cahyensis
Cynolebias microphthalmus
Creagrutus varii
Hypostomus multidens
Aphyocharax anisitsi
Cambeva crassicaudata
Characidium gomesi
Odontesthes retropinnis
Pseudauchenipterus affinis
Hypostomus fluviatilis
Serrapinnus piaba
Glandulocauda caerulea
Rhamdioglanis frenatus
Otocinclus xakriaba
Phalloceros aspilos
Cetopsis gobioides
Odontesthes bonariensis
Hyphessobrycon griemi
Brachyhypopomus janeiroensis
Deuterodon supparis
Hyphessobrycon bifasciatus
Bryconamericus leptorhynchus
Psectrogaster rhomboides
Trichomycterus itacarambiensis
Hemiancistrus chlorostictus
Phenacorhamdia tenebrosa
Hisonotus leucofrenatus
Glanidium albescens
Ancistrus salgadae
Hisonotus francirochai
Andromakhe paris
Aspidoras depinnai
Bryconamericus iheringii
Astyanax jordanensis
Leporellus retropinnis
Pachyurus squamipinnis
Kryptolebias gracilis
Heptapterus mustelinus
Hypostomus vaillanti
Serrasalmus spilopleura
Melanorivulus giarettai
Crenicichla menezesi
Prochilodus lineatus
Australoheros ribeirae
Atlantirivulus lazzarotoi
Serrasalmus marginatus
Parotocinclus maculicauda
Leporinus lacustris
Cyphocharax vanderi
Harttia novalimensis
Loricariichthys melanocheilus
Aspidoras psammatides
Campellolebias dorsimaculatus
Hisonotus depressicauda
Mimagoniates sylvicola
Scleronema minutum
Trachelyopterus coriaceus
Eigenmannia microstoma
Hisonotus nigricauda
Bunocephalus larai
Australoheros kaaygua
Cyanocharax itaimbe
Rineloricaria cubataonis
Parotocinclus bidentatus
Phallotorynus pankalos
Hyphessobrycon piabinhas
Harttia leiopleura
Parapimelodus nigribarbis
Ancistrus brevipinnis
Hemiancistrus meizospilos
Pareiorhaphis steindachneri
Hypostomus variipictus
Hypsolebias macaubensis
Megalancistrus barrae
Rineloricaria latirostris
Schizolecis guntheri
Hypostomus johnii
Cambeva castroi
Trichomycterus alternatus
Neofundulus acutirostratus
Stegophilus insidiosus
Copionodon lianae
Jenynsia lineata
Serrasalmus brandtii
Steindachnerina insculpta
Australoheros macacuensis
Psalidodon anisitsi
Neoplecostomus microps
Trichomycterus albinotatus
Pygocentrus piraya
Astyanax henseli
Crenicichla tesay
Hyphessobrycon parvellus
Hypsolebias stellatus
Gymnotus inaequilabiatus
Aphyocharax dentatus
Kryptolebias brasiliensis
Hasemania nana
